query_name,plan_size,true_cost,compass_est,psql_est,plan
100_1,8,7102710.999999999,224388.0,316179.80000000005,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_10,8,6438287.999999999,224388.0,263480.8,s1-item1 d-s1 s1-c c-cd s1-s2 s2-item2 c-ca
100_11,8,6173305.999999999,224388.0,253074.0,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_12,8,6386560.999999999,224388.0,257628.8,s1-item1 d-s1 s1-c c-cd s1-s2 s2-item2 c-ca
100_13,8,6493485.999999999,224388.0,285282.8,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_14,8,6318420.999999999,224388.0,264305.8,s1-item1 d-s1 s1-c c-cd s1-s2 s2-item2 c-ca
100_15,8,6577195.999999999,224388.0,284811.8,s1-item1 d-s1 s1-c c-cd s1-s2 s2-item2 c-ca
100_16,8,6827313.999999999,224388.0,293584.8,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_17,8,6664664.999999999,224388.0,291857.8,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_18,8,6420017.999999999,224388.0,268792.8,s1-item1 d-s1 s1-c c-cd s1-s2 s2-item2 c-ca
100_19,8,7229728.999999999,224388.0,300028.8,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_2,8,7698660.999999999,224388.0,316864.80000000005,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_20,8,6363425.999999999,224388.0,270069.8,s1-item1 d-s1 s1-c c-cd s1-s2 s2-item2 c-ca
100_21,8,6959877.999999999,224388.0,308233.80000000005,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_22,8,6582770.999999999,224388.0,272371.8,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_23,8,6418483.999999999,224388.0,269389.8,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_24,8,7906173.999999999,224388.0,317083.80000000005,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_25,8,7032582.999999999,224388.0,317639.80000000005,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_26,8,6679553.999999999,224388.0,291023.8,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_27,8,7314299.999999999,224388.0,317653.80000000005,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_28,8,7603741.999999999,224388.0,322127.80000000005,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_29,8,7417082.999999999,224388.0,313047.80000000005,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
100_3,8,6496218.999999999,224388.0,277450.8,s1-item1 d-s1 s1-c c-cd c-ca s1-s2 s2-item2
