query_name,plan_size,true_cost,compass_est,psql_est,plan
100_1,8,1154630.0,984147.0,1019052.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_10,8,1033695.0,984147.0,1004453.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_11,8,1074854.0,984147.0,1004928.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_12,8,1090976.0,984147.0,1003290.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_13,8,1191017.0,984147.0,1014188.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_14,8,1031121.0,984147.0,1004126.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_15,8,1100148.0,984147.0,1007972.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_16,8,1253885.0,984147.0,1020115.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_17,8,1193166.0,984147.0,1013500.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_18,8,1030350.0,984147.0,1004506.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_19,8,1292821.0,984147.0,1022060.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_2,8,1208525.0,984147.0,1032989.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_20,8,1131824.0,984147.0,1005838.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_21,8,1127277.0,984147.0,1027422.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_22,8,1034659.0,984147.0,1007725.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
100_23,8,1192348.0,984147.0,1014118.0,c-cd s1-c s1-item1 d-s1 s1-s2 s2-item2 c-ca
