query_name,plan_size,true_cost,compass_est,psql_est,plan
100_1,8,7391303.0,224388.0,317457.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_10,8,6559062.0,224388.0,263888.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_11,8,6232972.2,224388.0,280764.0,item1-s1 c-s1 c-cd c-ca d-s1 s1-s2 item2-s2
100_12,8,6389971.0,224388.0,257630.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_13,8,6493486.0,224388.0,285282.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_14,8,6409967.0,224388.0,264727.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_15,8,6727790.0,224388.0,285567.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_16,8,6827314.0,224388.0,293584.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_17,8,6832437.0,224388.0,292731.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_18,8,6526090.0,224388.0,269288.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_19,8,7229729.0,224388.0,300028.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_2,8,7698661.0,224388.0,316864.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_20,8,6453356.0,224388.0,270585.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_21,8,6959878.0,224388.0,308233.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_22,8,6739971.0,224388.0,272923.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_23,8,6418484.0,224388.0,269389.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_24,8,7906174.0,224388.0,317083.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_25,8,7032583.0,224388.0,317639.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_26,8,6862012.0,224388.0,291885.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_27,8,7314300.0,224388.0,317653.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_28,8,14079490.200000001,448790.0,544959.8,item2-s2 item1-s1 d-s1 c-s1 c-cd c-ca s1-s2
100_29,8,7417083.0,224388.0,313047.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_3,8,6632147.0,224388.0,278088.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_30,8,6961702.0,224388.0,301863.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_31,8,6829374.0,224388.0,302722.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_32,8,6462369.0,224388.0,273359.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_33,8,6829815.0,224388.0,270819.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_34,8,6960434.0,224388.0,316727.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_35,8,6625125.0,224388.0,269614.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_36,8,7199555.0,224388.0,295078.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_37,8,6267995.2,224388.0,283288.0,item1-s1 c-s1 c-cd c-ca d-s1 s1-s2 item2-s2
100_38,8,6332787.0,224388.0,268965.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_39,8,7535216.0,224388.0,316514.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_4,8,6037153.2,224388.0,256622.0,item1-s1 c-s1 c-cd c-ca d-s1 s1-s2 item2-s2
100_40,8,6577204.0,224388.0,287408.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_41,8,6955232.0,224388.0,298580.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_42,8,6504613.0,224388.0,275083.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_43,8,6217495.2,224388.0,269774.0,item1-s1 c-s1 c-cd c-ca d-s1 s1-s2 item2-s2
100_44,8,6037420.2,224388.0,259394.0,item1-s1 c-s1 c-cd c-ca d-s1 s1-s2 item2-s2
100_45,8,6189720.2,224388.0,272232.0,item1-s1 c-s1 c-cd c-ca d-s1 s1-s2 item2-s2
100_46,8,6038289.2,224388.0,244204.0,item1-s1 c-s1 c-cd c-ca d-s1 s1-s2 item2-s2
100_47,8,7035355.0,224388.0,284258.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_48,8,6577661.0,224388.0,284523.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_49,8,6334610.0,224388.0,255259.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_5,8,6375117.0,224388.0,269707.8,item1-s1 d-s1 c-s1 c-ca c-cd s1-s2 item2-s2
100_50,8,6181952.0,224388.0,255518.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_6,8,6706127.0,224388.0,277898.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_7,8,6670031.0,224388.0,288848.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_8,8,7105497.0,224388.0,294621.8,item1-s1 d-s1 c-s1 c-cd c-ca s1-s2 item2-s2
100_9,8,14044518.200000001,448790.0,552625.8,item2-s2 item1-s1 d-s1 c-s1 c-cd c-ca s1-s2
101_1,9,741765.0,15826.0,223229.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_10,9,1001011.0,15826.0,232595.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_11,9,936134.0,15826.0,223537.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_12,9,593419.0,15826.0,212416.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_13,9,194502.0,15826.0,43422.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_14,9,793328.0,15826.0,143520.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_15,9,752797.0,15826.0,191125.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_16,9,612392.0,15826.0,174562.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_17,9,745233.0,15826.0,228308.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_18,9,665805.0,15826.0,144118.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_19,9,1055754.0,15826.0,212400.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_2,9,662961.0,15826.0,243739.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_20,9,665942.0,15826.0,241718.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_21,9,739885.0,15826.0,209049.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_22,9,757901.0,15826.0,242281.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_23,9,785334.0,15826.0,185256.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_24,9,916529.0,15826.0,243365.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_25,9,749149.0,15826.0,286255.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_26,9,822755.0,15826.0,267248.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_27,9,732678.0,15826.0,163533.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_28,9,813158.0,15826.0,281650.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_29,9,629296.0,15826.0,181514.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_3,9,929830.0,15826.0,189700.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_30,9,1278892.0,15826.0,258509.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
101_31,9,744927.0,15826.0,263195.0,c-hd c-ca c-ss i-ss sr-ss sr-ws d1-sr d2-ws
