query_name,plan_size,true_cost,compass_est,psql_est,plan
100_1,8,1961346.8,399987.0,937117.8,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_10,8,1835543.0,399987.0,901774.0,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_11,8,1885286.0,399987.0,907578.0,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_12,8,1895296.0,399987.0,895748.0,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_13,8,1990125.0,399987.0,932202.0,c-ca c-cd c-s1 item1-s1 d-s1 s1-s2 item2-s2
100_14,8,1833717.0,399987.0,898560.0,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_15,8,1905600.0,399987.0,914414.0,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_16,8,2052027.0,399987.0,950390.0,c-ca c-cd c-s1 item1-s1 d-s1 s1-s2 item2-s2
100_17,8,1990858.0,399987.0,929928.0,c-ca c-cd c-s1 item1-s1 d-s1 s1-s2 item2-s2
100_18,8,1830484.0,399987.0,901658.0,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_19,8,2091944.8,399987.0,943864.8,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_2,8,2015134.8,399987.0,962383.8,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_20,8,1934965.8,399987.0,904780.0,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_21,8,1931776.8,399987.0,953653.8,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_22,8,1836305.0,399987.0,913480.0,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
100_23,8,1991160.0,399987.0,933440.0,c-ca c-cd c-s1 item1-s1 d-s1 s1-s2 item2-s2
100_24,8,2310322.8,399987.0,958857.8,c-ca c-cd c-s1 d-s1 item1-s1 s1-s2 item2-s2
