query_name,plan_size,true_cost,compass_est,psql_est,plan
10_1,4,701074.0,51.0,269412.0,c-n c-o l-o
10_10,4,921518.0,51.0,309012.0,c-n c-o l-o
10_11,4,921518.0,51.0,311756.0,c-n c-o l-o
10_12,4,1371464.0,51.0,311562.0,c-n c-o l-o
10_13,4,1371338.0,51.0,306960.0,c-n c-o l-o
10_14,4,921518.0,51.0,308950.0,c-n c-o l-o
10_15,4,1366158.0,51.0,312200.0,c-n c-o l-o
10_16,4,1369330.0,51.0,305924.0,c-n c-o l-o
10_17,4,1362510.0,51.0,311472.0,c-n c-o l-o
10_18,4,921518.0,51.0,309376.0,c-n c-o l-o
10_19,4,1367738.0,51.0,305608.0,c-n c-o l-o
10_2,4,1369866.0,51.0,313576.0,c-n c-o l-o
10_20,4,1369486.0,51.0,306618.0,c-n c-o l-o
10_21,4,1373118.0,51.0,307300.0,c-n c-o l-o
10_22,4,1367918.0,51.0,312566.0,c-n c-o l-o
10_23,4,921518.0,51.0,309404.0,c-n c-o l-o
10_24,4,1361904.0,51.0,304538.0,c-n c-o l-o
10_25,4,921518.0,51.0,310578.0,c-n c-o l-o
10_26,4,1365712.0,51.0,310246.0,c-n c-o l-o
10_27,4,701074.0,51.0,268706.0,c-n c-o l-o
10_28,4,1363848.0,51.0,309782.0,c-n c-o l-o
10_29,4,1365698.0,51.0,305244.0,c-n c-o l-o
10_3,4,1368106.0,51.0,313212.0,c-n c-o l-o
10_30,4,1369590.0,51.0,305950.0,c-n c-o l-o
10_31,4,1369470.0,51.0,311136.0,c-n c-o l-o
10_32,4,1365846.0,51.0,305268.0,c-n c-o l-o
10_33,4,921518.0,51.0,310152.0,c-n c-o l-o
10_34,4,701074.0,51.0,267974.0,c-n c-o l-o
10_35,4,701074.0,51.0,267658.0,c-n c-o l-o
10_36,4,1367646.0,51.0,310672.0,c-n c-o l-o
10_37,4,921518.0,51.0,311364.0,c-n c-o l-o
10_38,4,1366190.0,51.0,312846.0,c-n c-o l-o
10_39,4,921518.0,51.0,310162.0,c-n c-o l-o
10_4,4,1367594.0,51.0,306278.0,c-n c-o l-o
10_40,4,701074.0,51.0,269046.0,c-n c-o l-o
10_41,4,921518.0,51.0,310556.0,c-n c-o l-o
10_42,4,1371890.0,51.0,313970.0,c-n c-o l-o
10_43,4,701074.0,51.0,269436.0,c-n c-o l-o
10_44,4,701074.0,51.0,269754.0,c-n c-o l-o
10_45,4,1367536.0,51.0,310710.0,c-n c-o l-o
10_46,4,1359992.0,51.0,308852.0,c-n c-o l-o
10_47,4,1360562.0,51.0,310462.0,c-n c-o l-o
10_48,4,701074.0,51.0,268340.0,c-n c-o l-o
10_49,4,1361926.0,51.0,309278.0,c-n c-o l-o
10_5,4,701074.0,51.0,267634.0,c-n c-o l-o
10_50,4,701074.0,51.0,269072.0,c-n c-o l-o
10_51,4,701074.0,51.0,269778.0,c-n c-o l-o
10_52,4,701074.0,51.0,269388.0,c-n c-o l-o
10_53,4,1368214.0,51.0,313240.0,c-n c-o l-o
10_54,4,1362434.0,51.0,311472.0,c-n c-o l-o
10_55,4,921518.0,51.0,310190.0,c-n c-o l-o
10_56,4,1369640.0,51.0,311098.0,c-n c-o l-o
10_57,4,1367776.0,51.0,310634.0,c-n c-o l-o
10_58,4,701074.0,51.0,270118.0,c-n c-o l-o
10_59,4,1366406.0,51.0,312874.0,c-n c-o l-o
10_6,4,701074.0,51.0,268000.0,c-n c-o l-o
10_60,4,1365920.0,51.0,310168.0,c-n c-o l-o
10_61,4,1370130.0,51.0,313604.0,c-n c-o l-o
10_62,4,1367550.0,51.0,305584.0,c-n c-o l-o
10_63,4,1363944.0,51.0,304902.0,c-n c-o l-o
10_64,4,701074.0,51.0,267294.0,c-n c-o l-o
10_65,4,1365782.0,51.0,310208.0,c-n c-o l-o
10_66,4,1363926.0,51.0,309742.0,c-n c-o l-o
10_67,4,921518.0,51.0,308586.0,c-n c-o l-o
10_68,4,1363920.0,51.0,309704.0,c-n c-o l-o
10_69,4,1363806.0,51.0,304902.0,c-n c-o l-o
10_7,4,921518.0,51.0,309798.0,c-n c-o l-o
10_70,4,1361992.0,51.0,309316.0,c-n c-o l-o
10_71,4,921518.0,51.0,310970.0,c-n c-o l-o
10_72,4,1364242.0,51.0,311836.0,c-n c-o l-o
10_73,4,1364534.0,51.0,311864.0,c-n c-o l-o
10_74,4,921518.0,51.0,309770.0,c-n c-o l-o
10_75,4,1365692.0,51.0,305914.0,c-n c-o l-o
10_8,4,1364382.0,51.0,312482.0,c-n c-o l-o
10_9,4,1371370.0,51.0,306290.0,c-n c-o l-o
11_1,3,307909.0,53.0,4883.0,n-s ps-s
11_2,3,307992.0,53.0,4883.0,n-s ps-s
11_3,3,307909.0,53.0,4883.0,n-s ps-s
11_4,3,307909.0,53.0,4883.0,n-s ps-s
11_5,3,307909.0,53.0,4883.0,n-s ps-s
18_1,3,10680000.0,479997.0,3363921.0,c-o l-o
18_10,3,10680000.0,479997.0,3363921.0,c-o l-o
18_11,3,10680000.0,479997.0,3363921.0,c-o l-o
18_12,3,10680000.0,479997.0,3363921.0,c-o l-o
18_13,3,10680000.0,479997.0,3363921.0,c-o l-o
18_14,3,10680000.0,479997.0,3363921.0,c-o l-o
18_15,3,10680000.0,479997.0,3363921.0,c-o l-o
18_16,3,10680000.0,479997.0,3363921.0,c-o l-o
18_17,3,10680000.0,479997.0,3363921.0,c-o l-o
18_18,3,10680000.0,479997.0,3363921.0,c-o l-o
18_19,3,10680000.0,479997.0,3363921.0,c-o l-o
18_2,3,10680000.0,479997.0,3363921.0,c-o l-o
18_20,3,10680000.0,479997.0,3363921.0,c-o l-o
18_21,3,10680000.0,479997.0,3363921.0,c-o l-o
18_22,3,10680000.0,479997.0,3363921.0,c-o l-o
18_23,3,10680000.0,479997.0,3363921.0,c-o l-o
18_24,3,10680000.0,479997.0,3363921.0,c-o l-o
18_25,3,10680000.0,479997.0,3363921.0,c-o l-o
18_26,3,10680000.0,479997.0,3363921.0,c-o l-o
18_27,3,10680000.0,479997.0,3363921.0,c-o l-o
18_28,3,10680000.0,479997.0,3363921.0,c-o l-o
18_29,3,10680000.0,479997.0,3363921.0,c-o l-o
18_3,3,10680000.0,479997.0,3363921.0,c-o l-o
18_30,3,10680000.0,479997.0,3363921.0,c-o l-o
18_31,3,10680000.0,479997.0,3363921.0,c-o l-o
18_32,3,10680000.0,479997.0,3363921.0,c-o l-o
18_33,3,10680000.0,479997.0,3363921.0,c-o l-o
18_34,3,10680000.0,479997.0,3363921.0,c-o l-o
18_35,3,10680000.0,479997.0,3363921.0,c-o l-o
18_36,3,10680000.0,479997.0,3363921.0,c-o l-o
18_37,3,10680000.0,479997.0,3363921.0,c-o l-o
18_38,3,10680000.0,479997.0,3363921.0,c-o l-o
