Query,Join_size,True,Psql_est,Compass_estPlan
10_1_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_1_1,2,65650.0,22041.0,-1,"['customer-c', 'orders-o']"
10_1_2,2,110522.0,25941.0,-1,"['lineitem-l', 'orders-o']"
10_1_3,3,65650.0,22041.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_1_4,3,110522.0,25941.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_1_5,4,110522.0,25941.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_10_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_10_1,2,120125.0,38864.0,-1,"['customer-c', 'orders-o']"
10_10_2,2,220744.0,45741.0,-1,"['lineitem-l', 'orders-o']"
10_10_3,3,120125.0,38864.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_10_4,3,220744.0,45741.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_10_5,4,220744.0,45741.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_11_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_11_1,2,123262.0,40030.0,-1,"['customer-c', 'orders-o']"
10_11_2,2,220744.0,47113.0,-1,"['lineitem-l', 'orders-o']"
10_11_3,3,123262.0,40030.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_11_4,3,220744.0,47113.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_11_5,4,220744.0,47113.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_12_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_12_1,2,123606.0,39947.0,-1,"['customer-c', 'orders-o']"
10_12_2,2,445717.0,47016.0,-1,"['lineitem-l', 'orders-o']"
10_12_3,3,123606.0,39947.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_12_4,3,445717.0,47016.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_12_5,4,445717.0,47016.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_13_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
