query,complexity,tables,predicates,cost ratio,MAX Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error
1a,1,5,5,2.434281420175867,5520.12,759.3730968451647,1452.5686531918243,31.85537706716292
1b,1,5,5,4.293094338147691,138003.0,84794.11608779694,162223.98137188237,4871.269216786245
1c,1,5,5,2.216219007070894,7386.2,4046.084942266207,7311.304010133931,88.09490160595855
1d,1,5,5,4.292705945702608,138003.0,142832.53220718654,201102.67294008427,7413.066809678966
2a,1,5,5,0.6750249072737718,35.582490081364824,0.40177769525517737,0.40177769525517737,0.004414308488020584
2b,1,5,5,0.7594732689955803,11.281459317425842,1.6500793554609041,1.6500793554609041,0.018129327214375126
2c,1,5,5,1.972417174490243,3878.4823677581862,532.1261941887714,532.5515466409341,5.847491704110865
2d,1,5,5,1.0302188906416516,16.45311801613959,0.23641992248991694,0.23641992248991694,0.002597532125126004
32a,1,6,5,1.3680043698378213,6039366.666666667,106073.59707964331,106398.1760909921,265.8475025147501
32b,1,6,5,1.4458086707017963,649.0568787475016,3.9944935986452714,7.661160265311938,0.21778214032433219
3a,1,4,4,1.0,24.724519015659958,0.0,0.0,0.0
3b,1,4,4,1.0,120.5052380952381,0.0,0.0,0.0
3c,1,4,4,1.0,5.489103378206756,2.151731089458086,2.151731089458086,0.023640946036339754
4a,1,5,5,1.0,964.425,18.19845148592711,23.25797529545092,0.21245563817448793
4b,1,5,5,1.0,3236.4,19.95,21.50880216117323,0.0664553018921187
4c,1,5,5,1.0,3271.175,89.089254512555,92.9970778043459,1.0697486351246164
5a,1,5,5,1.0,25735.173378834716,3.429203694551519,7.2241567422907345,0.1064123186004828
5b,1,5,5,1.0,518.4044913297414,143.09440536839685,153.73952340878301,6.820696723708022
5c,1,5,5,1.0,410.80579765287797,1.5409731381341774,1.7373094036786862,0.008018396870786641
6a,1,5,5,1.0,2547.177554438861,0.01022511819169842,0.01022511819169842,2.5282864020121006e-05
6b,1,5,5,1.0,4214.416666666667,7.0837606837606835,7.773325646699506,0.025091681390601608
6c,1,5,5,1.0,4214.416666666667,0.7726190476190475,0.7726190476190475,0.0019103957483999627
6d,1,5,5,1.0,585.880430603614,0.08137768914714513,0.08137768914714513,0.0008940920020699288
6e,1,5,5,1.0,1317.6307189542483,0.0,0.0,0.0
6f,1,5,5,1.0,26.51156031229335,0.0,0.0,0.0
8a,1,7,8,7.81065680147706,18564.285714285714,730.0205164578308,1636.0924406591466,9.46929460907922
8b,1,7,8,9.112001187622779,2494.648,289.3530157066842,458.4005253821166,3.5232473825845476
8c,1,7,8,1.0158260510036752,10276.124517146918,15.444105564044495,27.05327384447792,0.3301827743140172
8d,1,7,8,1.0,9946.814624603185,156.863202810784,173.08425860440056,7.48671525732147
9a,1,8,9,3.3598236606364,65545079.365079366,15713.159993424793,38991.79140558542,107.85905839245751
9b,1,8,9,6.875424959964253,27281750.0,31190.25616554789,59147.07044124045,217.8499486851164
9c,1,8,9,5.571309119429878,15884275.82915772,2027.9896471462644,4020.7708944933916,8.679041432113662
9d,1,8,9,1.8378565285849267,644351.10492104,97.49658507359815,245.6184436067596,0.6659656046413072
10a,1,7,7,0.9996120785876424,179014.8307442076,2990.0866355023218,7528.765261507466,40.772621513734556
10b,1,7,7,1.0,219851.7230332708,30991.727882459363,38601.41126325547,355.41112636938936
10c,1,7,7,1.1562151858897125,1799917.9843842268,37.71932359250626,120.29568196492616,0.707253740131031
17a,1,7,9,1.6864042460036053,3742.5761522088824,8.903104113360287,16.15773047092037,0.0495953331775456
17b,1,7,9,1.0147138796261468,9287.35879575976,56.240237135273105,106.36622698937617,0.40698300547375044
17c,1,7,9,1.015177040104552,46896.43394966854,676.3400279061483,895.497299284745,2.676648220646839
17d,1,7,9,1.0150899063555299,10569.686675871148,132.55621130433178,232.96298038474907,1.6784077953030538
17e,1,7,9,4.066524036450705,1009.8041862438556,5.287276212553954,9.588443343345524,0.025951618919703885
17f,1,7,9,0.8819683437766059,1858.0235531758094,12.062634786050776,30.84136858611361,0.09856910841524823
18a,1,7,9,1.5592688261174616,127034.81781376518,11956.506174627364,13067.497999927993,37.201824899205704
18b,1,7,9,1.0307394655456532,224911.66666666666,4143.54602754716,5556.446964520547,22.077514714187142
18c,1,7,9,1.1770337970214733,2685.4629933187875,84.41633507078915,183.18212951344822,1.3142029614772976
7a,2,8,11,0.9260983251960424,56731.6129032258,171.9398947788928,257.609228403347,0.2791965739068192
7b,2,8,11,4.087805618384592,378482.71276595746,256.89314273778444,592.73324716102,0.7209462901879191
7c,2,8,11,1.0,32612.185909814067,645.9884502063313,969.2871581920897,0.4354937612252603
11a,2,8,10,1.107936381939283,265429.1011831185,3714.0344092829005,4682.874571983187,43.032351974989574
11b,2,8,10,1.7278609799772098,210000.0,10250.74720458311,18565.97067556348,101.47815951153781
11c,2,8,10,1.3316466234242335,8830173.616010759,894.8689739979525,2878.1943986344504,12.016800334307959
11d,2,8,10,0.9481129985703921,197117.57034342925,238.1700455814463,543.2190838590844,3.1253824870141433
12a,2,8,10,1.1408043887082195,55441.06819982886,5790.135757992067,14635.902102500844,78.83965890219706
12b,2,8,10,1.0,1394820.0,504867.12120721897,783230.570390361,6359.8995584304885
12c,2,8,10,1.273588633378598,140537.38008287761,1155.4742994480519,2490.669145558999,14.535062290392977
13a,2,9,11,0.5987855113250288,4883304.119082206,531.3305333110743,1580.2049366382962,5.920572319436995
13b,2,9,11,1.0,36648.26447635719,15432.46840566472,37054.42594660144,141.0419970087044
13c,2,9,11,1.0,22216.61473647255,114184.06904901318,183659.6771511663,340.5088108112221
13d,2,9,11,1.118460152502435,4883304.119082206,479.49316727597466,894.7849187934316,1.6791081662996599
14a,2,8,10,1.0,4533.823170278506,4151.182665950717,8602.071630198365,13.192443121670358
14b,2,8,10,1.0,760.6309523809524,19093.698696165215,27400.864452242273,131.7531344139997
14c,2,8,10,1.0,14807.057027781337,10937.665317679073,14750.4419211035,16.91983509779191
15a,2,9,14,1.000018654911585,724015.243902439,22511.704684143297,45646.93381525267,292.53791020051386
15b,2,9,14,1.080438715187116,750000.0,1459.3944733875524,4933.4591968758505,19.995031942763127
15c,2,9,14,2.4842759548878792,1868009.6873623955,372225.9518200313,542995.9828042857,526.141973064203
15d,2,9,14,2.4383662605424177,109660.70326958668,117347.71463571797,140386.5487392883,72.49207472549854
16a,2,8,11,3.786110580579876,93955016.00631937,645.3053824551652,807.4417718678981,2.1479557062664707
16b,2,8,11,3.567902922872516,16227.310800231919,27.002362633610304,45.046446849858704,0.0611749210625983
16c,2,8,11,17.891093407217774,376945.8726815288,9.243889337992256,18.01303621966718,0.04425752600085576
16d,2,8,11,20.549726389659092,222791.90991912005,9.370240070992994,31.49003100285546,0.0587636317500375
19a,2,10,13,2.0220977815606602,338044444.4444444,151837.3196704628,480154.0776954484,1357.9643908205426
19b,2,10,13,1.0353124520760648,29618593.75,43482.463818956996,129379.98640245876,418.44935389203204
19c,2,10,13,0.996263819279005,111398540.93488246,9904.218539345504,36683.61863542874,54.10646231073
19d,2,10,13,1.7251945616168989,4520424.258329953,4504.598323436107,9448.561268978248,5.16594978251265
20a,2,10,12,2.9444236017617524,4917253472.382446,5219688.644522923,19656311.6941176,16391.19804405438
20b,2,10,12,5.585750588910812,2225180000.0,1407326.6390894228,3168835.2187687606,2727.3963277326
20c,2,10,12,8.23806210710661,1898440000.0,13553.707280896058,37517.66993970025,35.4035092900247
21a,2,9,14,1.1356060916170394,951088.4956353692,4947.903855419161,7302.012616265377,57.956850945024314
