query_name,plan_size,true_cost,compass_est,psql_est,plan
1a,5,675083.2000000001,562022.1434000002,522281.20000000007,ct-mc mc-mi_idx it-mi_idx t-mc
1b,5,1186235.2000000002,1132655.6147,551140.2000000001,ct-mc mc-mi_idx it-mi_idx t-mc
1c,5,613818.2000000001,546267.821889,522162.20000000007,ct-mc mc-mi_idx it-mi_idx t-mc
1d,5,1186235.2000000002,1141071.788,551140.2000000001,ct-mc mc-mi_idx it-mi_idx t-mc
2a,5,1623787.4,870220.6,295598.0,mk-k mc-mk cn-mc mc-t
2b,5,1615969.4,506276.39999999997,295592.0,mk-k mc-mk cn-mc mc-t
2c,5,1600297.4,407395.20999999996,295592.0,mk-k mc-mk cn-mc mc-t
2d,5,1752281.4,1429194.4,295630.0,mk-k t-mk mc-t cn-mc
32a,6,1222171.0,885362.2999999999,451441.0,mk-k lt-ml ml-t2 ml-t1 t1-mk
32b,6,1246803.0,401517.834,391209.0,mk-k lt-ml ml-t1 t1-mk ml-t2
3a,4,1108175.0,1586030.6999999997,1066742.0,k-mk mk-mi t-mi
3b,4,1104685.0,1149547.8999999997,1066566.0,k-mk mk-mi t-mi
3c,4,1128969.0,2016748.4999999995,1068064.0,k-mk mk-mi t-mi
4a,5,451127.5999999996,335590.2399999996,277726.5999999996,it-mi_idx mk-mi_idx k-mk t-mi_idx
4b,5,288269.5999999996,361570.1926000002,276157.5999999996,it-mi_idx mk-mi_idx k-mk t-mi_idx
4c,5,292808.5999999996,307160.60099999985,276157.5999999996,it-mi_idx mk-mi_idx k-mk t-mi_idx
5a,5,1052888.1999999997,1169787.3939099996,528386.1999999996,ct-mc mc-mi it-mi t-mi
5b,5,526427.1999999996,834279.2513799996,524710.1999999996,ct-mc mc-mi it-mi t-mi
5c,5,526433.1999999996,773273.1803799996,526690.1999999996,ct-mc mc-mi it-mi t-mi
6a,5,1070784.0,1793420.6539999999,1068884.0,k-mk ci-mk n-ci t-mk
6b,5,1173966.0,1939155.0,1066271.0,k-mk t-mk t-ci n-ci
6c,5,1065964.0,1362609.3199999998,1065854.0,k-mk t-mk t-ci n-ci
6d,5,6628087.2,5032270.0706,1090331.0,k-mk ci-mk n-ci t-mk
6e,5,1070784.0,1793955.19,1068884.0,k-mk ci-mk n-ci t-mk
6f,5,8656346.4,157203230.6,1096993.0,k-mk ci-mk t-mk n-ci
7a,8,1240254.4000000001,52971859.9,661256.4000000001,lt-ml ml-t t-ci it-pi pi-an n-an ci-n
7b,8,2131036.400000001,28748857.799999993,1943918.4000000008,n-an n-pi lt-ml ml-t it-pi t-ci ci-n
7c,8,3346811.399999998,24606033.799999997,681818.4000000004,lt-ml ml-t it-pi pi-an n-an t-ci ci-n
8a,7,7383567.2,618604.466,1136.3999999999069,ci-rt ci-mc mc-cn n-ci ci-t an-n
8b,7,7353573.2,94414.4814011999,1126.3999999999069,ci-rt ci-t n-ci t-mc mc-cn an-n
8c,7,25997235.000000004,9112109263.2,3459547.799999998,mc-cn t-mc ci-rt an-ci an-n ci-t
8d,7,13323211.400000002,9147561553.2,3459547.799999998,mc-cn t-mc ci-rt an-ci an-n ci-t
9a,8,10510902.399999999,158052523.0,658145.8000000004,mc-cn t-mc ci-rt n-ci chn-ci an-n ci-t
9b,8,9253690.399999999,27651550.68,567245.8000000004,mc-cn t-mc ci-rt n-ci an-n chn-ci ci-t
9c,8,12388302.399999999,3041729741.8,2258787.8000000003,mc-cn t-mc ci-rt n-ci chn-ci an-n ci-t
9d,8,15761461.999999998,17354497585.0,2276733.8000000007,mc-cn t-mc ci-rt an-ci n-ci chn-ci ci-t
10a,7,840050.4,892521.669828,841910.4,cn-mc ct-mc ci-mc rt-ci t-mc chn-ci
10b,7,1332605.4,1028197.3816000001,1080191.4,cn-mc ct-mc ci-mc rt-ci t-mc chn-ci
10c,7,10726980.399999999,2168150.0170999984,6339433.799999999,cn-mc ct-mc ci-mc rt-ci t-mc chn-ci
11a,8,189549.7999999998,96170.2362581311,6160.799999999814,lt-ml ml-mc mc-ct ml-mk mk-k ml-t mc-cn
