query_name,plan_size,true_cost,compass_est,psql_est,plan
1a,5,277323.4000000001,3563578.1934,297702.4000000001,it-mi_idx mc-mi_idx ct-mc t-mc
1b,5,276312.4000000001,3795438.880000001,301801.4000000001,it-mi_idx t-mi_idx t-mc ct-mc
1c,5,276922.6000000001,3596554.5730000003,299914.40000000014,it-mi_idx t-mi_idx t-mc ct-mc
1d,5,276337.40000000055,4445017.13,305567.40000000055,it-mi_idx t-mi_idx t-mc ct-mc
2a,5,1623787.4,870220.6,295598.0,mk-k mc-mk cn-mc mc-t
2b,5,1615969.4,506276.39999999997,295592.0,mk-k mc-mk cn-mc mc-t
2c,5,810570.1999999993,1883398.484100001,839753.2000000002,cn-mc mc-mk mk-k mc-t
2d,5,1752281.4,1429194.4,295630.0,mk-k t-mk mc-t cn-mc
32a,6,833409.0,4126909.8400000003,217577.0,lt-ml ml-t1 t1-mk mk-k ml-t2
32b,6,846564.0,3377183.8340000003,217571.0,lt-ml ml-t1 t1-mk mk-k ml-t2
3a,4,1108175.0,1586030.6999999997,1066742.0,k-mk mk-mi t-mi
3b,4,1104685.0,1149547.8999999997,1066566.0,k-mk mk-mi t-mi
3c,4,1120391.0,2021411.4999999995,1067262.0,k-mk t-mk t-mi
4a,5,338582.60000000003,554254.2000000001,276364.60000000003,it-mi_idx t-mi_idx t-mk k-mk
4b,5,277849.60000000003,551228.3596000001,276149.60000000003,it-mi_idx t-mi_idx t-mk k-mk
4c,5,290148.60000000003,601797.9230000001,276149.60000000003,it-mi_idx t-mi_idx t-mk k-mk
5a,5,1036558.1999999996,1184148.0766099996,527918.5999999996,ct-mc mc-mi t-mi it-mi
5b,5,524554.5999999996,841886.8830799996,523294.5999999996,ct-mc t-mc t-mi it-mi
5c,5,526411.1999999996,791329.0691599996,525962.5999999996,ct-mc mc-mi t-mi it-mi
6a,5,1070728.0,3790908.64,1066322.0,k-mk t-mk t-ci n-ci
6b,5,1173966.0,1939155.0,1066271.0,k-mk t-mk t-ci n-ci
