query_name,plan_size,true_cost,compass_est_cost,psql_est_cost,plan
1a,5,675083.2000000001,562022.1434000002,522281.2,ct-mc mc-mi_idx it-mi_idx mc-t
1b,5,1186235.2000000002,1132655.6147,551140.2000000001,ct-mc mc-mi_idx it-mi_idx mc-t
1c,5,613818.2000000001,546267.821889,522162.2,ct-mc mc-mi_idx it-mi_idx mc-t
1d,5,1186235.2000000002,1141071.788,551140.2000000001,ct-mc mc-mi_idx it-mi_idx mc-t
2a,5,1623787.4,870220.6,295598.0,k-mk mc-mk cn-mc mc-t
2b,5,1615969.4,506276.39999999997,295592.0,k-mk mc-mk cn-mc mc-t
2c,5,1600297.4,407395.20999999996,295592.0,k-mk mc-mk cn-mc mc-t
2d,5,1805233.4,1817852.5999999999,295664.0,k-mk mc-mk cn-mc mc-t
32a,6,1222171.0,885362.3,451441.0,lt-ml ml-t1 ml-t2 k-mk mk-t1
32b,6,1298021.0,541093.86,451201.0,lt-ml ml-t1 ml-t2 k-mk mk-t1
3a,4,1108175.0,1586030.7000000002,1066742.0,k-mk mi-mk mi-t
3b,4,1104685.0,1149547.9000000001,1066566.0,k-mk mi-mk mi-t
3c,4,1128969.0,2016748.5,1068064.0,k-mk mi-mk mi-t
4a,5,338582.60000000003,554254.2000000001,276364.60000000003,it-mi_idx mi_idx-t mi_idx-mk k-mk
4b,5,277849.60000000003,551228.3596000001,276149.60000000003,it-mi_idx mi_idx-t mi_idx-mk k-mk
4c,5,290148.60000000003,601797.9230000001,276149.60000000003,it-mi_idx mi_idx-t mi_idx-mk k-mk
5a,5,1052888.2000000002,1169787.39391,528386.2000000001,ct-mc mc-mi it-mi mc-t
5b,5,526427.2000000001,834279.25138,524710.2,ct-mc mc-mi it-mi mc-t
5c,5,526433.2000000001,773273.18038,526690.2000000001,ct-mc mc-mi it-mi mc-t
6a,5,1070728.0,3790908.64,1066322.0,k-mk mk-t ci-mk ci-n
6b,5,1173966.0,1939155.0,1066271.0,k-mk mk-t ci-mk ci-n
6c,5,1065964.0,1362609.3199999998,1065854.0,k-mk mk-t ci-mk ci-n
6d,5,4314342.0,14863401.885,1079595.0,k-mk mk-t ci-mk ci-n
6e,5,1070728.0,6762566.415,1067530.0,k-mk mk-t ci-mk ci-n
6f,5,4314342.0,158220036.2,1079595.0,k-mk mk-t ci-mk ci-n
7a,8,1240254.4,52971859.9,661256.4,lt-ml ml-t ci-ml it-pi an-pi an-n an-ci
7b,8,1001960.4,30331782.200000003,633769.4,lt-ml ml-t ci-ml ci-n it-pi an-pi an-ci
7c,8,3346811.4,24606033.8,681818.4,lt-ml ml-t ci-ml it-pi an-pi an-n an-ci
8a,7,7586761.2,745463.66,3234.4,ci-rt an-ci an-n ci-mc cn-mc ci-t
8b,7,7586539.2,106925.27414,3234.4,ci-rt an-ci an-n ci-t ci-mc cn-mc
8c,7,23945971.2,9113387025.2,5062644.6,cn-mc an-n mc-t ci-rt an-ci ci-mc
8d,7,15644295.2,9148839315.2,5062644.6,cn-mc an-n mc-t ci-rt an-ci ci-mc
9a,8,9494117.8,168985968.9,26760.4,ci-rt an-ci an-n ci-mc ci-t cn-mc chn-ci
9b,8,10081536.0,32547536.2,538739.8,ci-rt an-ci an-n ci-t cn-mc ci-mc chn-ci
9c,8,11498899.0,3068879803.0,1175013.7999999998,ci-rt an-ci an-n ci-t cn-mc chn-ci ci-mc
9d,8,15761462.0,17354497585.0,2276733.8,ci-rt an-ci an-n cn-mc chn-ci mc-t ci-mc
10a,7,840050.4000000001,892521.6698280001,841910.4000000001,cn-mc ct-mc ci-mc ci-rt ci-t chn-ci
10b,7,909938.4000000001,1398531.6762,856736.4000000001,cn-mc ct-mc mc-t ci-mc ci-rt chn-ci
10c,7,10726980.4,2168150.0171,6339433.800000001,cn-mc ct-mc ci-mc ci-rt ci-t chn-ci
