query_name,plan_size,true_cost,compass_est_cost,psql_est_cost,plan
1a,5,277323.4,3563578.1934,297702.4,it-mi_idx mc-mi_idx ct-mc mc-t
1b,5,276312.4,3795438.88,301801.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc
1c,5,276966.4,3562111.481889,297702.4,it-mi_idx mc-mi_idx ct-mc mc-t
1d,5,276337.4,4445017.13,305567.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc
2a,5,1691799.4,984052.4,295630.0,k-mk mk-t mc-mk cn-mc
2b,5,1689193.4,812061.8,295630.0,k-mk mk-t mc-mk cn-mc
2c,5,1683969.4,762621.205,295630.0,k-mk mk-t mc-mk cn-mc
2d,5,1752281.4,1429194.4,295630.0,k-mk mk-t mc-mk cn-mc
32a,6,893397.0,25757016.7,277565.0,lt-ml ml-t1 ml-t2 mk-t1 k-mk
32b,6,897782.0,25390439.759999998,277563.0,lt-ml ml-t1 ml-t2 mk-t1 k-mk
3a,4,1108175.0,1586030.7000000002,1066742.0,k-mk mi-mk mi-t
3b,4,1104685.0,1149547.9000000001,1066566.0,k-mk mi-mk mi-t
3c,4,1120391.0,2021411.5,1067262.0,k-mk mk-t mi-mk
4a,5,338582.60000000003,554254.2000000001,276364.60000000003,it-mi_idx mi_idx-t mi_idx-mk k-mk
4b,5,277849.60000000003,551228.3596000001,276149.60000000003,it-mi_idx mi_idx-t mi_idx-mk k-mk
4c,5,290148.60000000003,601797.9230000001,276149.60000000003,it-mi_idx mi_idx-t mi_idx-mk k-mk
5a,5,1052888.2000000002,1169787.39391,528386.2000000001,ct-mc mc-mi it-mi mc-t
5b,5,524554.6000000001,841886.88308,523294.60000000003,ct-mc mc-t mc-mi it-mi
5c,5,526563.2000000001,791329.0691600001,524834.6000000001,ct-mc mc-t mc-mi it-mi
6a,5,1070728.0,3790908.64,1066322.0,k-mk mk-t ci-mk ci-n
6b,5,1173966.0,1939155.0,1066271.0,k-mk mk-t ci-mk ci-n
6c,5,1065964.0,1362609.3199999998,1065854.0,k-mk mk-t ci-mk ci-n
6d,5,4314342.0,14863401.885,1079595.0,k-mk mk-t ci-mk ci-n
6e,5,1070728.0,6762566.415,1067530.0,k-mk mk-t ci-mk ci-n
6f,5,4314342.0,158220036.2,1079595.0,k-mk mk-t ci-mk ci-n
