query,complexity,tables,predicates,cost ratio,MAX Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error
10,1,3,2,1.0,1.0087014903545741,0.0,0.0,0.0
11,1,3,2,1.0,1.046938366293205,0.0,0.0,0.0
12,1,3,2,1.0,1.091520630860108,0.0,0.0,0.0
13,1,3,2,1.0,1.024276107662368,0.0,0.0,0.0
14,1,3,2,1.0,1.0353694234817086,0.0,0.0,0.0
15,1,3,2,1.0,1.0991360219581423,0.0,0.0,0.0
16,1,3,2,1.0,1.02095475648832,0.0,0.0,0.0
17,1,3,2,1.0,3.2622363636363634,0.0,0.0,0.0
18,1,3,2,1.0,7.2019734345351045,0.0,0.0,0.0
19,1,3,2,1.0,3.497515327525008,0.0,0.0,0.0
20,1,3,2,1.0,5.644718181818182,0.0,0.0,0.0
21,1,3,2,1.0,1.2988937797178743,0.0,0.0,0.0
22,1,3,2,1.0,1.2258438449000957,0.0,0.0,0.0
23,1,3,2,1.0,1.296525154617949,0.0,0.0,0.0
24,1,3,2,1.0,1.1092495219885277,0.0,0.0,0.0
25,1,3,2,1.0,1.0963038023547578,0.0,0.0,0.0
26,1,3,2,1.0,1.1762139605462822,0.0,0.0,0.0
27,1,3,2,1.0,1.0739817232022077,0.0,0.0,0.0
28,1,3,2,1.0,1.1027396935935208,0.0,0.0,0.0
29,1,3,2,1.0,1.1520944154550214,1.5571436629723263,1.5571436629723263,0.07384889787937735
30,1,3,2,1.0,1.2320718552197558,0.0,0.0,0.0
31,1,3,2,1.0483978987758202,1.103614940434681,0.0,0.0,0.0
32,1,3,2,1.0,1.1115257273122015,0.0,0.0,0.0
33,1,3,2,1.0,1.1346236925345003,0.0,0.0,0.0
34,1,3,2,1.0,1.1407775722504114,0.0,0.0,0.0
35,1,3,2,1.0,1.2649512925658566,0.0,0.0,0.0
36,1,4,3,1.0,7.098361071860696,0.0,0.0,0.0
37,1,4,3,1.0,100.82375,0.0,0.0,0.0
38,1,4,3,1.0,3.2230428645073013,0.0,0.0,0.0
39,1,4,3,1.0,1.583503519381382,0.0,0.0,0.0
40,1,4,3,1.6941925230050867,19.71299842306826,0.5259198105871925,0.5259198105871925,0.005778250787213916
41,1,4,3,1.0,2.807048653076148,0.0,0.0,0.0
42,1,4,3,1.229684083227354,10.012513474382057,0.0,0.0,0.0
43,1,4,3,1.0,7.79654861218111,0.0,0.0,0.0
44,1,4,3,1.066187321580351,3.8145266455986078,0.0,0.0,0.0
45,1,4,3,1.0,1.6422079507654457,0.0,0.0,0.0
46,1,4,3,1.0,2.3342026465526775,0.6433929729518035,0.6433929729518035,0.007068921682748255
47,1,4,3,1.0,1.8329488489118915,0.0,0.0,0.0
48,1,4,3,1.0,1.5593865436988177,0.0,0.0,0.0
49,1,4,3,1.0,10.097386318726368,0.0,0.0,0.0
4,1,3,2,1.0,2.2839720000000003,0.0,0.0,0.0
50,1,4,3,1.0,26.100205218411023,0.0,0.0,0.0
51,1,4,3,1.0,5.852148980325152,0.0,0.0,0.0
52,1,4,3,1.0927320842338368,31.072580645161292,0.0,0.0,0.0
53,1,4,3,1.0,4.591263459513295,1.1336296504657903,1.1336296504657903,0.012455123934007037
54,1,4,3,1.0,1.5209614858771767,0.8307068690533206,0.8307068690533206,0.009126928713128514
55,1,4,3,1.0016063314254149,2.0541147302308995,0.0,0.0,0.0
56,1,4,3,1.0,4.583230114707308,0.0,0.0,0.0
57,1,4,3,1.0,2.3474196715428923,0.0,0.0,0.0
58,1,4,3,1.0,4.394406647130611,0.0,0.0,0.0
59,1,5,4,1.0296265854323035,241.21953741036268,0.3790298222614432,0.7039933529821969,0.021546175950150813
5,1,3,2,1.0,10.3314,0.0,0.0,0.0
60,1,5,4,1.1313182318946373,352.88384458785333,0.36647943280762835,0.7020041213202739,0.019939039828893067
61,1,5,4,1.0111433583162708,133.48235155641873,3.424266242005666,3.424266242005666,0.008466920004465948
62,1,5,4,1.0,193.22489875575204,0.0,0.0,0.0
63,1,5,4,1.0,48.46564565905726,0.2900787462186721,0.2900787462186721,0.0031870785430589484
64,1,5,4,1.0,276.5896453322462,0.7337037477025135,0.7337037477025135,0.008061160983858728
65,1,5,4,1.0550184010048211,104.77452442407422,3.482161816023364,3.482161816023364,0.00861007394144877
66,1,5,4,1.0024696981937522,201.08262139958714,2.499007704736967,6.39585557922985,0.10440804895932881
67,1,5,4,1.0,3559.0718562874254,5.8338126557437935,9.552570595132186,0.07329085196113666
68,1,5,4,1.0017940098837523,42.44577414789138,4.762746314373895,6.7492019668657,0.05723977676607436
69,1,5,4,1.6505578127485323,187.33492642434913,7.794054035365601,14.50719545028157,0.09302865808864856
6,1,3,2,1.0,18.905416666666667,0.0,0.0,0.0
70,1,5,4,1.175918294048108,421.53016939661205,6.052189185347353,11.192893554232647,0.07920608003282717
7,1,3,2,1.0,9.156033333333333,0.0,0.0,0.0
8,1,3,2,1.0,1.0346546997820198,0.0,0.0,0.0
9,1,3,2,1.0,1.0630779811306896,0.0,0.0,0.0
