query,complexity,tables,predicates,cost ratio,MAX Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error
10,1,3,2,1.0,1.6155762576523822,0.0,0.0,0.0
11,1,3,2,1.0,1.410073815790529,0.0,0.0,0.0
12,1,3,2,1.0,1.369156756828941,0.0,0.0,0.0
13,1,3,2,1.0,1.5044683911707,0.0,0.0,0.0
14,1,3,2,1.0,1.4389381604959168,0.0,0.0,0.0
15,1,3,2,1.0,1.4585602887369415,0.0,0.0,0.0
16,1,3,2,1.0,1.5044683911707,0.0,0.0,0.0
17,1,3,2,1.0,2.0,0.0,0.0,0.0
18,1,3,2,1.0,9.24561403508772,0.0,0.0,0.0
19,1,3,2,1.0,3.398026315789474,0.0,0.0,0.0
20,1,3,2,1.0,7.2727272727272725,0.0,0.0,0.0
21,1,3,2,1.0,1.827535126868237,0.0,0.0,0.0
22,1,3,2,1.0,3.7507095121853617,0.0,0.0,0.0
23,1,3,2,1.0,2.789849563312415,0.0,0.0,0.0
24,1,3,2,1.0,1.6999997393766673,0.0,0.0,0.0
25,1,3,2,1.0,2.37116704805492,0.0,0.0,0.0
26,1,3,2,1.0,1.7029522978475857,0.0,0.0,0.0
27,1,3,2,1.0,1.6452125567733744,0.0,0.0,0.0
28,1,3,2,1.0,1.7056867187820088,0.0,0.0,0.0
29,1,3,2,1.0,1.6999997393766673,0.0,0.0,0.0
30,1,3,2,1.0,1.8672598057098078,0.0,0.0,0.0
31,1,3,2,1.0,1.8433461813056264,0.0,0.0,0.0
32,1,3,2,1.0,2.08358905842807,0.0,0.0,0.0
33,1,3,2,1.0,1.6131104580014446,0.0,0.0,0.0
34,1,3,2,1.0,1.512327229246664,0.0,0.0,0.0
35,1,3,2,1.0,1.813417711008472,0.0,0.0,0.0
36,1,4,3,1.0,1.8830609926599091,1.6928933055448077,1.6928933055448077,0.018599721627736054
37,1,4,3,1.0,40.0,0.0,0.0,0.0
38,1,4,3,1.0,1.7268185012738293,1.646982922518832,1.646982922518832,0.0180953068832811
39,1,4,3,1.0,3.1501615353976424,0.0,0.0,0.0
40,1,4,3,1.0,3.5619303652219525,0.0,0.0,0.0
41,1,4,3,1.0,4.181235768871996,0.0,0.0,0.0
42,1,4,3,1.0,2.997745840642493,0.0,0.0,0.0
43,1,4,3,1.0,1.735488983293346,0.0,0.0,0.0
44,1,4,3,1.0,2.5597289809809394,0.0,0.0,0.0
45,1,4,3,1.0,1.7399547788833862,0.0,0.0,0.0
46,1,4,3,1.0,2.2099231390217224,0.0,0.0,0.0
47,1,4,3,1.0,2.575160484505124,0.0,0.0,0.0
48,1,4,3,1.0,2.3684500583205366,0.0,0.0,0.0
49,1,4,3,1.2450309018295744,2.37116704805492,0.0,0.0,0.0
4,1,3,2,1.0,4.62962962962963,0.0,0.0,0.0
50,1,4,3,1.0,1.683963647024333,0.0,0.0,0.0
51,1,4,3,1.0,1.8286923591000224,0.0,0.0,0.0
52,1,4,3,1.0,2.1507936507936507,0.0,0.0,0.0
53,1,4,3,1.0,2.058303659352394,0.0,0.0,0.0
54,1,4,3,1.0,1.744707365334277,0.0,0.0,0.0
55,1,4,3,0.974051875007587,1.8895657948379558,0.0,0.0,0.0
56,1,4,3,1.0,1.6999997393766673,0.0,0.0,0.0
57,1,4,3,1.0,5.813323273673707,0.0,0.0,0.0
58,1,4,3,1.0,5.080290876242949,0.0,0.0,0.0
59,1,5,4,1.0,5.295933308897473,0.0,0.0,0.0
5,1,3,2,1.0,3.0,0.0,0.0,0.0
60,1,5,4,1.0,6.576673760214998,0.0,0.0,0.0
61,1,5,4,0.6998362040197158,3.2822796012707633,0.35387818762146217,0.35387818762146217,0.0038880393456152944
62,1,5,4,0.6561818670346705,4.137685470743837,0.3078279537333567,0.3078279537333567,0.0033820880677612815
63,1,5,4,1.0,2.215494279277955,0.2900787462186721,0.2900787462186721,0.0031870785430589484
64,1,5,4,1.0,6.503347737464329,0.7337037477025135,0.7337037477025135,0.008061160983858728
65,1,5,4,1.0,2.4910286084737443,0.40301197306849657,0.40301197306849657,0.004427869427545735
66,1,5,4,1.0,3.57316972350589,1.142220700948888,1.6843723563387378,0.05551135084151823
67,1,5,4,1.0,27.97214854111406,5.833333333333333,5.8336933136417635,0.06410757105891424
68,1,5,4,0.9834516966544719,7.636406590300584,0.4801225566668403,0.4801225566668403,0.0011871621516371211
69,1,5,4,1.000301755403275,37.03664459161148,2.372950141804687,3.53004490798028,0.02893252638653272
6,1,3,2,1.0,1.5,0.0,0.0,0.0
70,1,5,4,1.0,31.49175824175824,2.2898742841509585,3.525304042253631,0.028213469619517574
7,1,3,2,1.0,6.0,0.0,0.0,0.0
8,1,3,2,1.0,1.3231859614197103,0.0,0.0,0.0
9,1,3,2,1.0,1.369156756828941,0.0,0.0,0.0
