query_name,plan_size,true_cost,compass_est,psql_est,plan
10,3,5705128.4,8468656.4,5357791.4,t-mi_idx t-mk
11,3,72094397.4,118285724.4,56560001.4,t-mk t-mi
12,3,19495550.4,76032742.4,26062620.4,t-mk t-mi
13,3,169432884.4,105913424.4,92873082.4,t-mk t-mi
14,3,13757792.2,18878112.2,16384844.2,t-mc t-mi
15,3,7595253.2,18003354.2,10327699.2,t-mc t-mi
16,3,20851038.2,38128048.2,23597058.2,t-mc t-mi
17,3,3941219.4000000004,3980915.2846,3940514.4000000004,t-mk t-ci
18,3,3966256.4000000004,25492510.96,3947598.4000000004,t-mk t-ci
19,3,3938828.4000000004,3940698.4422100005,3938763.4000000004,t-mk t-ci
20,3,3941219.4000000004,4017590.8918999997,3944988.4000000004,t-mk t-ci
21,3,129311031.2,352180589.2,69938383.2,t-mk t-ci
22,3,167053766.20000002,150984029.20000002,36411395.2,t-mk t-ci
23,3,97511033.2,197954069.20000002,26429536.200000003,t-mk t-ci
24,3,4277704.4,5177606.2,4232003.4,t-mk t-mc
25,3,3575287.2,3718111.7500000005,3569545.2,t-mc t-mk
26,3,3594548.2,3777944.2,3596539.2,t-mc t-mk
27,3,40258334.199999996,40507606.199999996,19712219.200000003,t-mk t-mc
28,3,29378755.0,35081988.0,25926819.0,t-ci t-mc
29,3,14881417.8,27350632.6,14562312.2,t-mc t-ci
30,3,5421385.2,6287640.2,4520550.2,t-mc t-ci
31,3,17355785.0,25877705.0,16835765.0,t-ci t-mc
32,3,7201051.2,18078447.2,6316800.2,t-mc t-ci
33,3,21183970.0,35420599.0,20349246.0,t-mc t-ci
34,3,9596863.2,28712795.0,10210882.2,t-mc t-ci
35,3,70786326.0,71791269.0,53660634.0,t-mc t-ci
36,4,2635450.4,13957958.200000001,2866254.4,t-mi_idx t-mi t-mc
37,4,2527533.4,2595796.0,2389800.4,t-mi_idx t-mi t-mc
38,4,4079988.4,20626697.2,4692273.2,t-mi_idx t-mi t-mc
39,4,8156426.2,29761530.8,5468103.2,t-mi_idx t-mi t-mc
4,3,2163384.4,2196219.9930000002,2162044.4,t-mi_idx t-mc
40,4,4733337.4,43877261.4,4997969.4,t-mk t-mi t-mi_idx
41,4,10447096.4,115460319.4,9770553.4,t-mi t-mk t-mi_idx
42,4,7877119.4,204263146.4,11656004.4,t-mi t-mk t-mi_idx
43,4,14310648.2,76695125.2,16568061.2,t-ci t-mi_idx t-mi
44,4,17441507.2,358639026.2,23694359.2,t-ci t-mi_idx t-mi
45,4,33994256.2,710158467.2,53488804.2,t-ci t-mi_idx t-mi
46,4,533489317.2,2468609650.2,85682766.2,t-mc t-mi t-mk
47,4,219333408.2,866830342.2,32899713.2,t-mc t-mi t-mk
48,4,648464518.2,1070385030.2,105205968.2,t-mc t-mi t-mk
49,4,4625195.4,47726397.85,4293455.4,t-mk t-mc t-mi
5,3,2161725.4,2164220.1942,2161707.4,t-mi_idx t-mc
50,4,4562707.4,17685730.82,4291237.4,t-mk t-mc t-mi
51,4,5285955.4,58908347.589999996,4667721.4,t-mk t-mc t-mi
52,4,3994129.4000000004,14051298.226,3969938.4000000004,t-mk t-mi t-mc
53,4,37145038.2,570941655.2,20294112.2,t-mc t-ci t-mi
54,4,168719473.0,1875427022.0,103922894.0,t-ci t-mi t-mc
55,4,118835588.2,1249980744.2,60980166.2,t-mc t-ci t-mi
56,4,19472051.200000007,604453477.0,9697541.400000006,t-mk t-mc t-ci
57,4,87340106.4,641795473.4,11356821.4,t-mi_idx t-ci t-mk
58,4,56049448.4,1400550017.4,9122869.4,t-mi_idx t-ci t-mk
59,5,14547725.2,12463293044.2,22842458.2,t-mc t-mi t-mk t-mi_idx
6,3,2161810.4,2180246.625,2161756.4,t-mi_idx t-mc
60,5,11327127.4,6801459049.2,20267701.2,t-mk t-mi t-mc t-mi_idx
61,5,36413583.2,15066537630.2,41941699.2,t-mc t-mi t-mk t-mi_idx
62,5,23659496.2,9505061924.2,32288069.2,t-mc t-mi t-mk t-mi_idx
63,5,520981297.4,197027648775.4,528372908.4,t-mi t-ci t-mi_idx t-mk
64,5,40584432.4,106916897611.4,89012418.4,t-mi t-ci t-mi_idx t-mk
65,5,290972978.2,162322593248.2,322508870.2,t-ci t-mi_idx t-mk t-mi
66,5,1401406334.2,182669265937.2,189037805.2,t-mc t-ci t-mk t-mi
67,5,5227166.3999999985,739670354.1000001,5181805.3999999985,t-mk t-ci t-mc t-mi
68,5,9686132541.0,291117219749.0,614499431.0,t-ci t-mc t-mk t-mi
69,5,9335055.2,481571936.2,5346495.199999999,t-mc t-ci t-mi t-mk
7,3,2161742.4,2164353.8162000002,2161707.4,t-mi_idx t-mc
70,5,5280372.2,428757788.2,4130959.2,t-mc t-ci t-mi t-mk
8,3,4006625.4,10750402.4,4389931.4,t-mi_idx t-mk
9,3,2564774.4,5798690.4,3057300.4,t-mi_idx t-mk
