query_name,plan_size,true_cost,compass_est,psql_est,plan
10,3,5705128.4,8468656.4,5357791.4,mi_idx-t mk-t
11,3,72094397.4,118285724.4,56560001.4,mk-t mi-t
12,3,19495550.4,76032742.4,26062620.4,mk-t mi-t
13,3,169432884.4,105913424.4,92873082.4,mk-t mi-t
14,3,13757792.2,18878112.2,16384844.2,mc-t mi-t
15,3,7595253.2,18003354.2,10327699.2,mc-t mi-t
16,3,20851038.2,38128048.2,23597058.2,mc-t mi-t
17,3,3941219.4000000004,3980915.2846,3940514.4000000004,mk-t ci-t
18,3,3966256.4000000004,25492510.96,3947598.4000000004,mk-t ci-t
19,3,3938828.4000000004,3940698.4422100005,3938763.4000000004,mk-t ci-t
20,3,3941219.4000000004,4017590.8918999997,3944988.4000000004,mk-t ci-t
21,3,129311031.2,352180589.2,69938383.2,mk-t ci-t
22,3,167053766.20000002,150984029.20000002,36411395.2,mk-t ci-t
23,3,97511033.2,197954069.20000002,26429536.200000003,mk-t ci-t
24,3,4277704.4,5177606.2,4232003.4,mk-t mc-t
25,3,3575287.2,3718111.7500000005,3569545.2,mc-t mk-t
26,3,3594548.2,3777944.2,3596539.2,mc-t mk-t
27,3,40258334.199999996,40507606.199999996,19712219.200000003,mk-t mc-t
28,3,37719429.2,43267549.0,31595053.0,mc-t ci-t
29,3,14881417.8,27350632.6,14562312.2,mc-t ci-t
30,3,5421385.2,6287640.2,4520550.2,mc-t ci-t
31,3,16554578.2,29914874.6,14911980.2,mc-t ci-t
32,3,7201051.2,18078447.2,6316800.2,mc-t ci-t
33,3,21183970.0,35420599.0,20349246.0,mc-t ci-t
34,3,9596863.2,28712795.0,10210882.2,mc-t ci-t
35,3,70786326.0,71791269.0,53660634.0,mc-t ci-t
36,4,2635450.4,13957958.200000001,2866254.4,mi_idx-t mi-t mc-t
37,4,2527533.4,2595796.0,2389800.4,mi_idx-t mi-t mc-t
38,4,4079988.4,20626697.2,4692273.2,mi_idx-t mi-t mc-t
39,4,8156426.2,29761530.8,5468103.2,mi_idx-t mi-t mc-t
4,3,2163384.4,2196219.9930000002,2162044.4,mi_idx-t mc-t
40,4,2793860.4,48535982.4,3278224.4,mi_idx-t mi-t mk-t
41,4,14360158.4,121849536.4,8225132.4,mi_idx-t mi-t mk-t
42,4,6405807.4,215610688.4,11009322.4,mi_idx-t mi-t mk-t
43,4,15497717.4,89417942.2,15787578.4,mi-t mi_idx-t ci-t
44,4,16358764.4,368648691.2,22586353.4,mi-t ci-t mi_idx-t
45,4,45914282.2,724010407.2,62303879.2,mi-t ci-t mi_idx-t
46,4,533489317.2,2468609650.2,85682766.2,mc-t mi-t mk-t
47,4,219333408.2,866830342.2,32899713.2,mc-t mi-t mk-t
48,4,648464518.2,1070385030.2,105205968.2,mc-t mi-t mk-t
49,4,5758511.2,48831452.7,4690103.2,mc-t mk-t mi-t
5,3,2161725.4,2164220.1942,2161707.4,mi_idx-t mc-t
50,4,5314186.2,18315388.0,4683009.2,mc-t mk-t mi-t
51,4,5285955.4,58908347.589999996,4667721.4,mk-t mc-t mi-t
52,4,3655177.2,15663433.2,3621478.2,mc-t mk-t mi-t
53,4,37145038.2,570941655.2,20294112.2,mc-t ci-t mi-t
54,4,178874558.0,1894535098.6,112162104.0,mc-t mi-t ci-t
55,4,118835588.2,1249980744.2,60980166.2,mc-t ci-t mi-t
56,4,19472051.200000003,604453477.0,9697541.4,mk-t mc-t ci-t
57,4,87340106.4,641795473.4,11356821.4,mi_idx-t ci-t mk-t
58,4,56049448.4,1400550017.4,9122869.4,mi_idx-t ci-t mk-t
59,5,14129127.4,12564644860.2,26182385.2,mi_idx-t mi-t mc-t mk-t
6,3,2161810.4,2180246.625,2161756.4,mi_idx-t mc-t
60,5,10012326.4,6907583138.2,21878337.2,mi_idx-t mi-t mc-t mk-t
61,5,38635666.4,15281509339.2,49608828.2,mi_idx-t mi-t mc-t mk-t
62,5,24167964.4,9687942421.2,38221754.2,mi_idx-t mi-t mc-t mk-t
63,5,520981297.4,197027648775.4,528372908.4,mi-t ci-t mi_idx-t mk-t
64,5,46043887.4,106998150518.2,102989166.4,mk-t mi_idx-t ci-t mi-t
65,5,300032542.4,162357562755.2,334917262.2,mk-t mi_idx-t ci-t mi-t
66,5,1405098181.0,182690376073.0,189847703.0,mc-t mk-t ci-t mi-t
67,5,5255248.2,740264916.2,4373220.2,mc-t mk-t ci-t mi-t
68,5,9694384892.0,291136232419.0,612318120.0,mc-t mk-t ci-t mi-t
69,5,6126013.4,491473864.533,3978891.4000000004,mk-t mc-t mi-t ci-t
7,3,2161742.4,2164353.8162000002,2161707.4,mi_idx-t mc-t
70,5,5280372.2,428757788.2,4130959.2,mc-t ci-t mi-t mk-t
8,3,4006625.4,10750402.4,4389931.4,mi_idx-t mk-t
9,3,2564774.4,5798690.4,3057300.4,mi_idx-t mk-t
