query,join_size,true,psql_est,compass_est,plan
10_0,2,2742670,1840394,2.72518e+06,"['movie_keyword-mk', 'title-t']"
10_1,2,303486,187850,300868,"['movie_info_idx-mi_idx', 'title-t']"
10_2,3,2031666,1915601,4.80043e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
11_0,2,4922359,3490852,5.06373e+06,"['movie_info-mi', 'title-t']"
11_1,2,1253091,1062999,1.19691e+06,"['movie_keyword-mk', 'title-t']"
11_2,3,62682311,47528099,1.08986e+08,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
12_0,2,1726523,1346782,1.68698e+06,"['movie_info-mi', 'title-t']"
12_1,2,299534,410109,274419,"['movie_keyword-mk', 'title-t']"
12_2,3,11990578,18336498,6.8578e+07,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
13_0,2,9092685,6043786,9.31342e+06,"['movie_info-mi', 'title-t']"
13_1,2,2742670,1840394,2.73776e+06,"['movie_keyword-mk', 'title-t']"
13_2,3,157041640,82286390,9.3532e+07,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
14_0,2,4922359,3490852,5.09646e+06,"['movie_info-mi', 'title-t']"
14_1,2,450556,313117,463984,"['movie_companies-mc', 'title-t']"
14_2,3,6333736,9235666,1.14272e+07,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
15_0,2,1726523,1346782,1.682e+06,"['movie_info-mi', 'title-t']"
15_1,2,176197,120802,160305,"['movie_companies-mc', 'title-t']"
15_2,3,1931628,3563151,1.11598e+07,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
16_0,2,9092685,6043786,9.28322e+06,"['movie_info-mi', 'title-t']"
16_1,2,794787,542106,788902,"['movie_companies-mc', 'title-t']"
16_2,3,12738520,15989902,3.00273e+07,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
17_0,2,5935230,3290241,4.88336e+06,"['cast_info-ci', 'title-t']"
17_1,2,11,22,35.8846,"['movie_keyword-mk', 'title-t']"
17_2,3,1224,866,21059.5,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
18_0,2,3099,912,10838.8,"['cast_info-ci', 'title-t']"
18_1,2,1054,114,7590.88,"['movie_keyword-mk', 'title-t']"
