query_name,tables_nbr,query_complexity,max_q_error_psql,cost-DP_psql
1a,5,0,2385.269230769231,221.39332096474953
1b,5,0,718.4,3546.3625
1c,5,0,2458.0,109.66415094339622
1d,5,0,718.4,4177.54255319149
2a,5,0,7834.0,1.0
2b,5,0,5228.0,1.0
2c,5,0,2092.0,96.15959595959596
2d,5,0,8539.5,1.0
32a,6,0,9.127509976562996,1.0
32b,6,0,4388.0,1.0
3a,4,0,50.19767441860465,1.0
3b,4,0,50.19767441860465,1.0
3c,4,0,50.19767441860465,1.0
4a,5,0,376.5925925925926,1.5913071948923632
4b,5,0,1000.3333333333334,1.2170542635658914
4c,5,0,2510.0,1.3676552881925015
5a,5,0,616.15625,1.5066565554432085
5b,5,0,8.34618441971383,1.0
5c,5,0,5.920353982300885,1.035217794253939
6a,5,0,10.372881355932204,1.0
6b,5,0,383.0,2.905325443786982
6c,5,0,33.0,1.0
6d,5,0,256.6538146021329,139.33767100433766
6e,5,0,6.0,1.0
6f,5,0,628.3816,1.0
8a,7,0,17379.0,29.440514469453376
8b,7,0,2751.0,4.025
8c,7,0,115.2151822518642,1.1649034469747024
8d,7,0,24.161660331977487,1.0957677982587242
9a,8,0,727.0,1.3963494132985659
9b,8,0,1555.3846153846155,1.0196671709531013
9c,8,0,8514.0,1.4205826488073214
9d,8,0,4354.603448275862,2.021846101835786
10a,7,0,603.7083333333334,4.8076923076923075
10b,7,0,129.74285714285713,1.0
10c,7,0,3.675197127900529,1.0
17a,7,0,26722.216981132075,1.313842445570425
17b,7,0,52306.0,7.136974907991897
17c,7,0,26430.257627118644,104.60907718678844
17d,7,0,26430.257627118644,21.66831830081292
17e,7,0,26722.216981132075,1.0
17f,7,0,26430.257627118644,3.4292592696651596
18a,7,0,41204.0,1.0292887434402898
18b,7,0,592.6153846153846,12.42756183745583
18c,7,0,28073.0,2.9126730786616872
7a,8,1,484719.0,1.7506985459741364
7b,8,1,53272.25,1.2011703239289446
7c,8,1,246662.80952380953,5.5011130893864015
11a,8,1,32130.0,1.0274197520729005
11b,8,1,11915.0,1.9176470588235295
11c,8,1,260315.66666666666,1.288608413367637
11d,8,1,15510.0,1.0130904693522786
12a,8,1,25123.5,3.382228490832158
12b,8,1,95454.6,27.715827338129497
12c,8,1,43557.0,1.970647251046265
13a,9,1,10256570.0,2.310142876383556
13b,9,1,47809.181818181816,1.8346199524940618
13c,9,1,47809.181818181816,2.875886524822695
13d,9,1,10256570.0,2.245057996661559
14a,8,1,23916.0,4.491803278688525
14b,8,1,12774.0,16.713513513513515
14c,8,1,24334.875,1.340273500061599
15a,9,1,4309.0,5.243172951885565
15b,9,1,3771.0,13.278008298755188
15c,9,1,9187.0,3.2764656849124756
15d,9,1,5681.0,4.912803908202681
16a,8,1,22625.560975609755,2.588224615756989
16b,8,1,161330.08695652173,1.0
16c,8,1,22625.560975609755,1.1920641183916487
16d,8,1,22625.560975609755,1.0
19a,10,1,82720.0,1.864520456069752
19b,10,1,14051.0,3.1463414634146343
19c,10,1,195936.0,1.60855533967794
19d,10,1,1909379.0,3.1632770678997
20a,10,1,87986607.0,37212.94187474417
20b,10,1,41145539.0,55207.227332457296
20c,10,1,41145539.0,242.10774609881844
21a,9,1,60243.0,1.5570497483705965
21b,9,1,31960.0,1.9331507731958764
21c,9,1,99902.0,1.6899064273661604
22a,11,1,523511.0,13.382624768946396
22b,11,1,70725.0,21.10116086235489
22c,11,1,2842381.0,2.831431726168568
22d,11,1,319854.56,59.26962628542764
23a,11,1,1641411.5,6.773314203730273
23b,11,1,1641411.5,16.048192771084338
23c,11,1,795004.7777777778,7.730715287517532
24a,12,1,2945072.0,5.007952155625657
24b,12,1,424620.0,16.14327485380117
25a,9,1,319480.0,1.6811533473012072
25b,9,1,34190.0,2.103448275862069
25c,9,1,378769.25,1.9770891552059462
26a,12,1,41145539.0,335.02537107352435
26b,12,1,21175984.0,39.66945606694561
26c,12,1,125474088.0,304.08733936220847
33a,14,1,448098.0,15.959255533199196
33b,14,1,448098.0,8.523494374586367
33c,14,1,1229760.0,1.9851624231782266
27a,12,2,1760956.0,23.19586267605634
27b,12,2,1760956.0,5.880324543610548
27c,12,2,3884358.0,150.83304913966828
28a,14,2,5442981.0,2.9382843137254904
28b,14,2,550766.0,5.308800419067575
28c,14,2,2842381.0,11.153591160220994
30a,12,2,1020203.0,9.135671487997557
30b,12,2,1020203.0,1511.4948096885814
30c,12,2,3406616.0,15.017044345331952
31a,11,2,4311915.666666667,20.746642076044637
31b,11,2,369660.0,19.993288590604028
31c,11,2,6153261.75,21.211945820156334
29a,17,2,792947549.0,3.2425816880267866
29b,17,2,126154056.0,3.0916435826408124
29c,17,2,2057893916.0,26.68078961247708
